env_id,timestamp,env_mode,env_frequency,env_source_count,env_receiver_count,env_range_count,env_max_depth,env_ssp_type,prt_mode,prt_success,prt_error_msg,prt_freq,prt_ssp_points,prt_ssp_min_speed,prt_ssp_max_speed,prt_ssp_mean_speed,prt_ssp_std_speed,prt_depth_min,prt_depth_max,prt_depth_range,prt_source_depths,prt_receiver_depths,prt_ranges,prt_beam_angles,prt_run_time,arr_arrival_count,arr_min_time,arr_max_time,arr_mean_time,arr_std_time,arr_min_amplitude,arr_max_amplitude,arr_mean_amplitude,arr_std_amplitude,arr_angle_spread,arr_phase_variance,ray_ray_count,ray_total_points,ray_max_range,ray_max_depth,ray_avg_ray_length,ray_path_complexity,ray_turning_points,ray_bounce_count,shd_grid_size,shd_range_extent,shd_depth_extent,shd_min_tl,shd_max_tl,shd_mean_tl,shd_std_tl,shd_tl_gradient,shd_energy_distribution
B001_arr,2025-08-01 17:58:39.497344,arr,,0,0,0,5232.0,A'				! Run type,arr,1,,949.8,54,1474.6,1600.0,1490.1266666666666,16.761280336493353,0.0,5432.0,5432.0,[],[],[],[],,20472.0,0.150923043,220.5,18.85876839611782,7.716895627784763,6.97921776e-10,201.0,0.011994233650770183,1.43801957534497,441.0,10798.696060187976,,,,,,,,,,,,,,,,,
B001_ray,2025-08-01 17:58:39.574847,ray,,0,0,0,5232.0,A' 0.0,ray,1,,949.8,54,1474.6,1600.0,1490.1266666666666,16.761280336493353,0.0,5432.0,5432.0,[],[],[],[],,,,,,,,,,,,,1.0,22875.0,50495.676590412986,5232.001415348922,6451421.115091439,448.1460980878074,186.0,0.0,,,,,,,,,
B001_shd,2025-08-01 17:58:39.865991,shd,,0,0,0,5232.0,C'				! Run type,shd,1,,949.8,54,1474.6,1600.0,1490.1266666666666,16.761280336493353,0.0,5432.0,5432.0,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B002_arr,2025-08-01 17:58:40.261006,arr,,0,0,0,406.6,A'				! Run type,arr,1,,1997.0,26,1494.46,1600.0,1505.2823076923078,19.259263367112123,0.0,606.6,606.6,[],[],[],[],,223392.0,0.169484347,255.0,19.68664646033532,8.470544067883258,4.1169641e-09,201.0,0.0011270922293050666,0.43673753083749783,510.0,624654.8754389293,,,,,,,,,,,,,,,,,
B002_ray,2025-08-01 17:58:40.607642,ray,,0,0,0,406.6,A' 0.0,ray,1,,1997.0,26,1494.46,1600.0,1505.2823076923078,19.259263367112123,0.0,606.6,606.6,[],[],[],[],,,,,,,,,,,,,1.0,125977.0,50039.21740170372,406.60012403559705,5002786.393694363,532.7105423820103,118.0,0.0,,,,,,,,,
B002_shd,2025-08-01 17:58:42.266288,shd,,0,0,0,406.6,C'				! Run type,shd,1,,1997.0,26,1494.46,1600.0,1505.2823076923078,19.259263367112123,0.0,606.6,606.6,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B003_arr,2025-08-01 17:58:42.590817,arr,,0,0,0,2907.4,A'				! Run type,arr,1,,1368.0,38,1478.52,1600.0,1499.8823684210527,18.67323223990209,0.0,3107.4,3107.4,[],[],[],[],,41897.0,0.149274424,223.999985,19.069351579237654,7.8770621605294,8.57508564e-10,201.0,0.005877672329636563,1.0052200761347936,447.999969,27590.324068173282,,,,,,,,,,,,,,,,,
B003_ray,2025-08-01 17:58:42.655210,ray,,0,0,0,2907.4,A' 0.0,ray,1,,1368.0,38,1478.52,1600.0,1499.8823684210527,18.67323223990209,0.0,3107.4,3107.4,[],[],[],[],,,,,,,,,,,,,1.0,16015.0,50284.833749710946,2907.4012681150602,2415729.318084834,178.03218231203167,71.0,0.0,,,,,,,,,
B003_shd,2025-08-01 17:58:42.857467,shd,,0,0,0,2907.4,C'				! Run type,shd,1,,1368.0,38,1478.52,1600.0,1499.8823684210527,18.67323223990209,0.0,3107.4,3107.4,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B004_arr,2025-08-01 17:58:43.155462,arr,,0,0,0,2560.6,A'				! Run type,arr,1,,973.4,37,1460.0,1600.0,1467.0945945945946,22.595840157055772,0.0,2760.6,2760.6,[],[],[],[],,75433.0,0.18808499,270.5,23.182772812214047,8.1339705050738,1.4103417e-10,201.0,0.003107071579931427,0.7410487033905573,541.0,45286.247142800145,,,,,,,,,,,,,,,,,
B004_ray,2025-08-01 17:58:43.269098,ray,,0,0,0,2560.6,A' 0.0,ray,1,,973.4,37,1460.0,1600.0,1467.0945945945946,22.595840157055772,0.0,2760.6,2760.6,[],[],[],[],,,,,,,,,,,,,1.0,18589.0,50240.28180429439,2560.600967243107,3816314.2228382607,248.16504801312385,113.0,0.0,,,,,,,,,
B004_shd,2025-08-01 17:58:43.490887,shd,,0,0,0,2560.6,C'				! Run type,shd,1,,973.4,37,1460.0,1600.0,1467.0945945945946,22.595840157055772,0.0,2760.6,2760.6,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B005_arr,2025-08-01 17:58:43.827322,arr,,0,0,0,1039.1,A'				! Run type,arr,1,,1007.0,34,1478.57,1600.0,1491.7364705882353,19.942671937677783,0.0,1239.1,1239.1,[],[],[],[],,269393.0,0.184234843,275.5,19.989694607506657,8.797879997652824,9.68386593e-10,201.0,0.0008965699914964305,0.39276050760795783,551.0,248871.3365613563,,,,,,,,,,,,,,,,,
B005_ray,2025-08-01 17:58:44.253992,ray,,0,0,0,1039.1,A' 0.0,ray,1,,1007.0,34,1478.57,1600.0,1491.7364705882353,19.942671937677783,0.0,1239.1,1239.1,[],[],[],[],,,,,,,,,,,,,1.0,129056.0,50102.46516203398,1039.100398507457,9395514.783232622,892.3875079750081,248.0,0.0,,,,,,,,,
B005_shd,2025-08-01 17:58:45.799733,shd,,0,0,0,1039.1,C'				! Run type,shd,1,,1007.0,34,1478.57,1600.0,1491.7364705882353,19.942671937677783,0.0,1239.1,1239.1,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B006_arr,2025-08-01 17:58:46.093304,arr,,0,0,0,1574.9,A'				! Run type,arr,1,,1133.0,32,1489.35,1600.0,1501.8490625,18.720689316798513,0.0,1774.9,1774.9,[],[],[],[],,316321.0,0.138612658,208.999985,18.551802197412112,6.973135696509421,7.8336182e-10,201.0,0.0008076175089109601,0.36662007726370505,417.999969,92139.99600510964,,,,,,,,,,,,,,,,,
B006_ray,2025-08-01 17:58:46.559305,ray,,0,0,0,1574.9,A' 0.0,ray,1,,1133.0,32,1489.35,1600.0,1501.8490625,18.720689316798513,0.0,1774.9,1774.9,[],[],[],[],,,,,,,,,,,,,1.0,45075.0,50147.55293778306,1574.900368889991,6406019.09381833,497.95379028902,164.0,0.0,,,,,,,,,
B006_shd,2025-08-01 17:58:47.097327,shd,,0,0,0,1574.9,C'				! Run type,shd,1,,1133.0,32,1489.35,1600.0,1501.8490625,18.720689316798513,0.0,1774.9,1774.9,[],[],[],[],,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B007_arr,2025-08-01 17:58:47.370917,arr,,0,0,0,5365.5,A'				! Run type,arr,1,,959.1,55,1480.12,1600.0,1495.7945454545454,16.266516620813647,0.0,5565.5,5565.5,[],[],[],[],,32623.0,0.189386755,284.5,22.206037144968214,8.886718417863733,1.09284048e-09,201.0,0.00747216830630095,1.1368540782802647,569.0,10455.357210324564,,,,,,,,,,,,,,,,,
