filename,success,error_msg,freq,ssp_points,ssp_min,ssp_max,ssp_mean,depth_min,depth_max
B10_strict.prt,1,,50.0,16,1431.85,1500.0,1440.080625,0.0,2000.0
B11_strict.prt,1,,50.0,16,1431.85,1500.0,1442.0225,0.0,2000.0
B12_strict.prt,1,,50.0,16,1431.85,1500.0,1441.9518750000002,0.0,2000.0
B13_strict.prt,1,,50.0,16,1431.85,1500.0,1441.92,0.0,2000.0
B14_strict.prt,1,,50.0,16,10.0,1500.0,1351.429375,0.0,2000.0
B15_strict.prt,1,,50.0,16,10.0,1500.0,1351.575625,0.0,2000.0
B1_strict.prt,1,,50.0,16,1431.85,1500.0,1439.36125,0.0,2000.0
B2_strict.prt,1,,50.0,16,1431.85,1500.0,1439.8943749999999,0.0,2000.0
B3_strict.prt,1,,50.0,16,1431.85,1500.0,1439.56,0.0,2000.0
B4_strict.prt,1,,50.0,16,1431.85,1500.0,1439.315625,0.0,2000.0
B5_strict.prt,1,,50.0,16,1431.85,1500.0,1439.2156249999998,0.0,2000.0
B6_strict.prt,1,,50.0,16,1431.85,1500.0,1439.73875,0.0,2000.0
B7_strict.prt,1,,50.0,16,1431.85,1500.0,1439.680625,0.0,2000.0
B8_strict.prt,1,,50.0,16,1431.85,1500.0,1439.154375,0.0,2000.0
B9_strict.prt,1,,50.0,16,1431.85,1500.0,1440.27625,0.0,2000.0
