env_id,timestamp,env_mode,env_frequency,env_source_count,env_receiver_count,env_range_count,env_max_depth,env_ssp_type,prt_mode,prt_success,prt_error_msg,prt_freq,prt_ssp_points,prt_ssp_min_speed,prt_ssp_max_speed,prt_ssp_mean_speed,prt_ssp_std_speed,prt_depth_min,prt_depth_max,prt_depth_range,prt_source_depths,prt_receiver_depths,prt_ranges,prt_beam_angles,prt_run_time,arr_arrival_count,arr_min_time,arr_max_time,arr_mean_time,arr_std_time,arr_min_amplitude,arr_max_amplitude,arr_mean_amplitude,arr_std_amplitude,arr_angle_spread,arr_phase_variance,ray_ray_count,ray_total_points,ray_max_range,ray_max_depth,ray_avg_ray_length,ray_path_complexity,ray_turning_points,ray_bounce_count,shd_grid_size,shd_range_extent,shd_depth_extent,shd_min_tl,shd_max_tl,shd_mean_tl,shd_std_tl,shd_tl_gradient,shd_energy_distribution
B001_arr,2025-08-14 14:02:08.582881,arr,,0,0,0,5232.0,A'				! Run type,arr,1,,949.8,54,1474.6,1600.0,1490.1266666666666,16.761280336493353,0.0,5432.0,5432.0,[94.3],"[0.0, 5232.0]","[0.0, 50.0]","[-11.6, -10.8, -10.0, -9.2, -8.4, -7.6, -6.8, -6.0, -5.2, -4.4, 11.6]",0.0469,20472.0,0.150923043,220.5,18.85876839611782,7.716895627784763,6.97921776e-10,201.0,0.011994233650770183,1.43801957534497,441.0,10798.696060187976,,,,,,,,,,,,,,,,,
B001_ray,2025-08-14 14:02:08.615518,ray,,0,0,0,5232.0,A' 0.0,ray,1,,949.8,54,1474.6,1600.0,1490.1266666666666,16.761280336493353,0.0,5432.0,5432.0,"[31.9, 167.9]","[0.0, 5232.0]","[0.0, 50.0]","[-16.3, -15.2484, -14.1968, -13.1452, -12.0935, -11.0419, -9.99032, -8.93871, -7.8871, -6.83548, 16.3]",0.0156,,,,,,,,,,,,1.0,22875.0,50495.676590412986,5232.001415348922,6451421.115091439,448.1460980878074,186.0,0.0,,,,,,,,,
B001_shd,2025-08-14 14:02:08.870676,shd,,0,0,0,5232.0,C'				! Run type,shd,1,,949.8,54,1474.6,1600.0,1490.1266666666666,16.761280336493353,0.0,5432.0,5432.0,[195.8],"[0.0, 5232.0]","[0.0, 50.0]","[-70.8, -70.787, -70.7739, -70.7609, -70.7479, -70.7348, -70.7218, -70.7088, -70.6957, -70.6827, 75.0]",1.5,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B002_arr,2025-08-14 14:02:09.230842,arr,,0,0,0,406.6,A'				! Run type,arr,1,,1997.0,26,1494.46,1600.0,1505.2823076923078,19.259263367112123,0.0,606.6,606.6,[124.1],"[0.0, 406.6]","[0.0, 50.0]","[-12.7, -11.9062, -11.1125, -10.3187, -9.525, -8.73125, -7.9375, -7.14375, -6.35, -5.55625, 12.7]",0.438,223392.0,0.169484347,255.0,19.68664646033532,8.470544067883258,4.1169641e-09,201.0,0.0011270922293050666,0.43673753083749783,510.0,624654.8754389293,,,,,,,,,,,,,,,,,
B002_ray,2025-08-14 14:02:09.543134,ray,,0,0,0,406.6,A' 0.0,ray,1,,1997.0,26,1494.46,1600.0,1505.2823076923078,19.259263367112123,0.0,606.6,606.6,"[161.4, 274.6]","[0.0, 406.6]","[0.0, 50.0]","[-16.5, -15.125, -13.75, -12.375, -11.0, -9.625, -8.25, -6.875, -5.5, -4.125, 16.5]",0.141,,,,,,,,,,,,1.0,125977.0,50039.21740170372,406.60012403559705,5002786.393694363,532.7105423820103,118.0,0.0,,,,,,,,,
B002_shd,2025-08-14 14:02:10.969526,shd,,0,0,0,406.6,C'				! Run type,shd,1,,1997.0,26,1494.46,1600.0,1505.2823076923078,19.259263367112123,0.0,606.6,606.6,[56.5],"[0.0, 406.6]","[0.0, 50.0]","[-70.1, -70.0916, -70.0832, -70.0748, -70.0664, -70.058, -70.0496, -70.0413, -70.0329, -70.0245, 79.4]",3.06,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B003_arr,2025-08-14 14:02:11.267973,arr,,0,0,0,2907.4,A'				! Run type,arr,1,,1368.0,38,1478.52,1600.0,1499.8823684210527,18.67323223990209,0.0,3107.4,3107.4,[148.6],"[0.0, 2907.4]","[0.0, 50.0]","[-16.5, -14.85, -13.2, -11.55, -9.9, -8.25, -6.6, -4.95, -3.3, -1.65, 16.5]",0.0781,41897.0,0.149274424,223.999985,19.069351579237654,7.8770621605294,8.57508564e-10,201.0,0.005877672329636563,1.0052200761347936,447.999969,27590.324068173282,,,,,,,,,,,,,,,,,
B003_ray,2025-08-14 14:02:11.326781,ray,,0,0,0,2907.4,A' 0.0,ray,1,,1368.0,38,1478.52,1600.0,1499.8823684210527,18.67323223990209,0.0,3107.4,3107.4,[96.7],"[0.0, 2907.4]","[0.0, 50.0]","[-24.7, -22.5522, -20.4043, -18.2565, -16.1087, -13.9609, -11.813, -9.66522, -7.51739, -5.36957, 24.7]",0.0156,,,,,,,,,,,,1.0,16015.0,50284.833749710946,2907.4012681150602,2415729.318084834,178.03218231203167,71.0,0.0,,,,,,,,,
B003_shd,2025-08-14 14:02:11.521127,shd,,0,0,0,2907.4,C'				! Run type,shd,1,,1368.0,38,1478.52,1600.0,1499.8823684210527,18.67323223990209,0.0,3107.4,3107.4,[183.0],"[0.0, 2907.4]","[0.0, 50.0]","[-84.8, -84.7885, -84.7771, -84.7656, -84.7542, -84.7427, -84.7313, -84.7198, -84.7084, -84.6969, 70.3]",1.5,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
B004_arr,2025-08-14 14:02:11.862073,arr,,0,0,0,2560.6,A'				! Run type,arr,1,,973.4,37,1460.0,1600.0,1467.0945945945946,22.595840157055772,0.0,2760.6,2760.6,[62.6],"[0.0, 2560.6]","[0.0, 50.0]","[-20.5, -19.0862, -17.6724, -16.2586, -14.8448, -13.431, -12.0172, -10.6034, -9.18966, -7.77586, 20.5]",0.125,75433.0,0.18808499,270.5,23.182772812214047,8.1339705050738,1.4103417e-10,201.0,0.003107071579931427,0.7410487033905573,541.0,45286.247142800145,,,,,,,,,,,,,,,,,
